,Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund
151,Bank of Whitman,Colfax,WA,22528,Columbia State Bank,5-Aug-11,10387
152,Bank of Shorewood,Shorewood,IL,22637,Heartland Bank and Trust Company,5-Aug-11,10386
153,Integra Bank National Association,Evansville,IN,4392,Old National Bank,29-Jul-11,10384
154,"BankMeridian, N.A.",Columbia,SC,58222,SCBT National Association,29-Jul-11,10383
155,Virginia Business Bank,Richmond,VA,58283,Xenith Bank,29-Jul-11,10385
156,Bank of Choice,Greeley,CO,2994,"Bank Midwest, N.A.",22-Jul-11,10380
157,LandMark Bank of Florida,Sarasota,FL,35244,American Momentum Bank,22-Jul-11,10381
158,Southshore Community Bank,Apollo Beach,FL,58056,American Momentum Bank,22-Jul-11,10382
159,Summit Bank,Prescott,AZ,57442,The Foothills Bank,15-Jul-11,10379
160,First Peoples Bank,Port St. Lucie,FL,34870,"Premier American Bank, N.A.",15-Jul-11,10376
161,High Trust Bank,Stockbridge,GA,19554,Ameris Bank,15-Jul-11,10377
162,One Georgia Bank,Atlanta,GA,58238,Ameris Bank,15-Jul-11,10378
163,Signature Bank,Windsor,CO,57835,Points West Community Bank,8-Jul-11,10375
164,Colorado Capital Bank,Castle Rock,CO,34522,First-Citizens Bank & Trust Company,8-Jul-11,10373
165,First Chicago Bank & Trust,Chicago,IL,27935,Northbrook Bank & Trust Company,8-Jul-11,10374
166,Mountain Heritage Bank,Clayton,GA,57593,First American Bank and Trust Company,24-Jun-11,10372
167,First Commercial Bank of Tampa Bay,Tampa,FL,27583,Stonegate Bank,17-Jun-11,10370
168,McIntosh State Bank,Jackson,GA,19237,Hamilton State Bank,17-Jun-11,10371
169,Atlantic Bank and Trust,Charleston,SC,58420,"First Citizens Bank and Trust Company, Inc.",3-Jun-11,10369
170,First Heritage Bank,Snohomish,WA,23626,Columbia State Bank,27-May-11,10368
171,Summit Bank,Burlington,WA,513,Columbia State Bank,20-May-11,10367
172,First Georgia Banking Company,Franklin,GA,57647,"CertusBank, National Association",20-May-11,10366
173,Atlantic Southern Bank,Macon,GA,57213,"CertusBank, National Association",20-May-11,10365
174,Coastal Bank,Cocoa Beach,FL,34898,"Florida Community Bank, a division of Premier American Bank, N.A.",6-May-11,10364
175,Community Central Bank,Mount Clemens,MI,34234,Talmer Bank & Trust,29-Apr-11,10359
176,The Park Avenue Bank,Valdosta,GA,19797,Bank of the Ozarks,29-Apr-11,10363
177,First Choice Community Bank,Dallas,GA,58539,Bank of the Ozarks,29-Apr-11,10361
178,Cortez Community Bank,Brooksville,FL,57625,"Florida Community Bank, a division of Premier American Bank, N.A.",29-Apr-11,10360
179,First National Bank of Central Florida,Winter Park,FL,26297,"Florida Community Bank, a division of Premier American Bank, N.A.",29-Apr-11,10362
180,Heritage Banking Group,Carthage,MS,14273,Trustmark National Bank,15-Apr-11,10354
181,Rosemount National Bank,Rosemount,MN,24099,Central Bank,15-Apr-11,10357
182,Superior Bank,Birmingham,AL,17750,"Superior Bank, National Association",15-Apr-11,10358
183,Nexity Bank,Birmingham,AL,19794,AloStar Bank of Commerce,15-Apr-11,10356
184,New Horizons Bank,East Ellijay,GA,57705,Citizens South Bank,15-Apr-11,10355
185,Bartow County Bank,Cartersville,GA,21495,Hamilton State Bank,15-Apr-11,10353
186,Nevada Commerce Bank,Las Vegas,NV,35418,City National Bank,8-Apr-11,10351
187,Western Springs National Bank and Trust,Western Springs,IL,10086,Heartland Bank and Trust Company,8-Apr-11,10352
188,The Bank of Commerce,Wood Dale,IL,34292,Advantage National Bank Group,25-Mar-11,10350
